p_mut	p_inf	n_inf_n_mean
2.5118864315095798e-5	0.0085	4333.333333333333
2.5118864315095798e-5	0.009	4666.666666666667
2.5118864315095798e-5	0.0095	4500.0
2.5118864315095798e-5	0.01	4500.0
3.9810717055349735e-5	0.0	0.0
3.9810717055349735e-5	0.0005	0.0
3.9810717055349735e-5	0.001	0.0
3.9810717055349735e-5	0.0015	0.0
3.9810717055349735e-5	0.002	0.0
3.9810717055349735e-5	0.0025	333.3333333333333
3.9810717055349735e-5	0.003	333.3333333333333
3.9810717055349735e-5	0.0035	500.0
3.9810717055349735e-5	0.004	1166.6666666666667
3.9810717055349735e-5	0.0045	1666.6666666666667
3.9810717055349735e-5	0.005	3333.3333333333335
3.9810717055349735e-5	0.0055	3666.6666666666665
3.9810717055349735e-5	0.006	3333.3333333333335
3.9810717055349735e-5	0.0065	3833.3333333333335
3.9810717055349735e-5	0.007	4166.666666666667
3.9810717055349735e-5	0.0075	3833.3333333333335
3.9810717055349735e-5	0.008	4666.666666666667
3.9810717055349735e-5	0.0085	4666.666666666667
3.9810717055349735e-5	0.009	4833.333333333333
3.9810717055349735e-5	0.0095	4833.333333333333
3.9810717055349735e-5	0.01	4833.333333333333
6.30957344480193e-5	0.0	0.0
6.30957344480193e-5	0.0005	0.0
6.30957344480193e-5	0.001	0.0
6.30957344480193e-5	0.0015	0.0
6.30957344480193e-5	0.002	166.66666666666666
6.30957344480193e-5	0.0025	666.6666666666666
6.30957344480193e-5	0.003	666.6666666666666
6.30957344480193e-5	0.0035	1500.0
6.30957344480193e-5	0.004	1833.3333333333333
6.30957344480193e-5	0.0045	2333.3333333333335
6.30957344480193e-5	0.005	3000.0
6.30957344480193e-5	0.0055	3333.3333333333335
6.30957344480193e-5	0.006	3833.3333333333335
6.30957344480193e-5	0.0065	4333.333333333333
6.30957344480193e-5	0.007	4166.666666666667
6.30957344480193e-5	0.0075	4666.666666666667
6.30957344480193e-5	0.008	4500.0
6.30957344480193e-5	0.0085	4500.0
6.30957344480193e-5	0.009	4666.666666666667
6.30957344480193e-5	0.0095	4833.333333333333
6.30957344480193e-5	0.01	5000.0
0.0001	0.0	0.0
0.0001	0.0005	0.0
0.0001	0.001	0.0
0.0001	0.0015	333.3333333333333
0.0001	0.002	666.6666666666666
0.0001	0.0025	833.3333333333334
0.0001	0.003	1500.0
0.0001	0.0035	1833.3333333333333
0.0001	0.004	2500.0
0.0001	0.0045	3333.3333333333335
0.0001	0.005	3000.0
0.0001	0.0055	3333.3333333333335
0.0001	0.006	3500.0
0.0001	0.0065	4000.0
0.0001	0.007	3833.3333333333335
0.0001	0.0075	4333.333333333333
0.0001	0.008	4666.666666666667
0.0001	0.0085	4500.0
0.0001	0.009	5000.0
0.0001	0.0095	5000.0
0.0001	0.01	5000.0
0.00015848931924611142	0.0	0.0
0.00015848931924611142	0.0005	166.66666666666666
0.00015848931924611142	0.001	0.0
0.00015848931924611142	0.0015	166.66666666666666
