p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.0001	0.002	15	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	16	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	17	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	20	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	22	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	23	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	24	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	25	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	26	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	28	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	30	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	1	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	2	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	3	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	4	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	5	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	6	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	7	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	8	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	9	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	10	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	11	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	12	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	13	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	14	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	15	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
